PGC	GEN	BEZ
Nürnberger Land (Lkr)	Nürnberger Land	Landkreis
Oberallgäu (Lkr)	Oberallgäu	Landkreis
Oberbergischer Kreis	Oberbergischer Kreis	Kreis
Oberhausen	Oberhausen	Kreisfreie Stadt
Oberhavel	Oberhavel	Landkreis
Oberspreewald-Lausitz	Oberspreewald-Lausitz	Landkreis
Odenwaldkreis	Odenwaldkreis	Landkreis
Oder-Spree	Oder-Spree	Landkreis
Offenbach (Lkr)	Offenbach	Landkreis
Offenbach am Main	Offenbach am Main	Kreisfreie Stadt
Oldenburg (Lkr)	Oldenburg	Landkreis
Oldenburg	Oldenburg (Oldb)	Kreisfreie Stadt
Olpe (Kr)	Olpe	Kreis
Ortenaukreis	Ortenaukreis	Landkreis
Osnabrück	Osnabrück	Kreisfreie Stadt
Osnabrück (Lkr)	Osnabrück	Landkreis
Ostalbkreis	Ostalbkreis	Landkreis
Ostallgäu (Lkr)	Ostallgäu	Landkreis
Osterholz (Lkr)	Osterholz	Landkreis
Ostholstein	Ostholstein	Kreis
Ostprignitz-Ruppin	Ostprignitz-Ruppin	Landkreis
Paderborn (Kr)	Paderborn	Kreis
Passau	Passau	Kreisfreie Stadt
Passau (Lkr)	Passau	Landkreis
Peine (Lkr)	Peine	Landkreis
Pfaffenhofen an der Ilm (Lkr)	Pfaffenhofen a.d. Ilm	Landkreis
Pforzheim	Pforzheim	Stadtkreis
Pinneberg	Pinneberg	Kreis
Pirmasens	Pirmasens	Kreisfreie Stadt
Plön	Plön	Kreis
Potsdam	Potsdam	Kreisfreie Stadt
Potsdam-Mittelmark	Potsdam-Mittelmark	Landkreis
Prignitz	Prignitz	Landkreis
Rastatt (Lkr)	Rastatt	Landkreis
Ravensburg (Lkr)	Ravensburg	Landkreis
Recklinghausen (Kr)	Recklinghausen	Kreis
Regen (Lkr)	Regen	Landkreis
Regensburg	Regensburg	Kreisfreie Stadt
Regensburg (Lkr)	Regensburg	Landkreis
Regionalverband Saarbrücken	Regionalverband Saarbrücken	Landkreis
Region Hannover	Region Hannover	Landkreis
Remscheid	Remscheid	Kreisfreie Stadt
Rems-Murr-Kreis	Rems-Murr-Kreis	Landkreis
Rendsburg-Eckernförde	Rendsburg-Eckernförde	Kreis
Reutlingen (Lkr)	Reutlingen	Landkreis
Rhein-Erft-Kreis	Rhein-Erft-Kreis	Kreis
Rheingau-Taunus-Kreis	Rheingau-Taunus-Kreis	Landkreis
Rhein-Hunsrück-Kreis	Rhein-Hunsrück-Kreis	Landkreis
Rheinisch-Bergischer Kreis	Rheinisch-Bergischer Kreis	Kreis
Rhein-Kreis Neuss	Rhein-Kreis Neuss	Kreis
Rhein-Lahn-Kreis	Rhein-Lahn-Kreis	Landkreis
Rhein-Neckar-Kreis	Rhein-Neckar-Kreis	Landkreis
Rhein-Pfalz-Kreis	Rhein-Pfalz-Kreis	Landkreis
Rhein-Sieg-Kreis	Rhein-Sieg-Kreis	Kreis
Rhön-Grabfeld (Lkr)	Rhön-Grabfeld	Landkreis
Rosenheim	Rosenheim	Kreisfreie Stadt
Rosenheim (Lkr)	Rosenheim	Landkreis
Rostock	Rostock	Kreisfreie Stadt
Rostock (Lkr)	Rostock	Landkreis
Rotenburg (Wümme) (Lkr)	Rotenburg (Wümme)	Landkreis
Roth (Lkr)	Roth	Landkreis
Rottal-Inn (Lkr)	Rottal-Inn	Landkreis
Rottweil (Lkr)	Rottweil	Landkreis
Saale-Holzland-Kreis	Saale-Holzland-Kreis	Landkreis
Saalekreis	Saalekreis	Landkreis
Saale-Orla-Kreis	Saale-Orla-Kreis	Landkreis
Saalfeld-Rudolstadt (Lkr)	Saalfeld-Rudolstadt	Landkreis
Saarlouis (Lkr)	Saarlouis	Landkreis
Saarpfalz-Kreis	Saarpfalz-Kreis	Landkreis
Sächsische Schweiz-Osterzgebirge	Sächsische Schweiz-Osterzgebirge	Landkreis
Salzgitter	Salzgitter	Kreisfreie Stadt
Salzlandkreis	Salzlandkreis	Landkreis
Schaumburg (Lkr)	Schaumburg	Landkreis
Schleswig-Flensburg	Schleswig-Flensburg	Kreis
Schmalkalden-Meiningen (Lkr)	Schmalkalden-Meiningen	Landkreis
Schwabach	Schwabach	Kreisfreie Stadt
Schwäbisch Hall (Lkr)	Schwäbisch Hall	Landkreis
Schwalm-Eder-Kreis	Schwalm-Eder-Kreis	Landkreis
Schwandorf (Lkr)	Schwandorf	Landkreis
Schwarzwald-Baar-Kreis	Schwarzwald-Baar-Kreis	Landkreis
Schweinfurt	Schweinfurt	Kreisfreie Stadt
Schweinfurt (Lkr)	Schweinfurt	Landkreis
Schwerin	Schwerin	Kreisfreie Stadt
Segeberg	Segeberg	Kreis
Siegen-Wittgenstein (Kr)	Siegen-Wittgenstein	Kreis
Sigmaringen (Lkr)	Sigmaringen	Landkreis
Soest (Kr)	Soest	Kreis
Solingen	Solingen	Kreisfreie Stadt
Sömmerda (Lkr)	Sömmerda	Landkreis
Sonneberg (Lkr)	Sonneberg	Landkreis
Speyer	Speyer	Kreisfreie Stadt
Spree-Neiße	Spree-Neiße	Landkreis
Stade	Stade	Landkreis
Städteregion Aachen	Städteregion Aachen	Kreis
Starnberg (Lkr)	Starnberg	Landkreis
Steinburg	Steinburg	Kreis
Steinfurt (Kr)	Steinfurt	Kreis
Stendal	Stendal	Landkreis
Stormarn	Stormarn	Kreis
Straubing	Straubing	Kreisfreie Stadt
Straubing-Bogen (Lkr)	Straubing-Bogen	Landkreis
Stuttgart	Stuttgart	Stadtkreis
St. Wendel (Lkr)	St. Wendel	Landkreis
Südliche Weinstraße (Lkr)	Südliche Weinstraße	Landkreis
Südwestpfalz	Südwestpfalz	Landkreis
Suhl	Suhl	Kreisfreie Stadt
Teltow-Fläming	Teltow-Fläming	Landkreis
Tirschenreuth (Lkr)	Tirschenreuth	Landkreis
Traunstein (Lkr)	Traunstein	Landkreis
Trier	Trier	Kreisfreie Stadt
Trier-Saarburg (Lkr)	Trier-Saarburg	Landkreis
Tübingen (Lkr)	Tübingen	Landkreis
Tuttlingen (Lkr)	Tuttlingen	Landkreis
Uckermark	Uckermark	Landkreis
Uelzen	Uelzen	Landkreis
Ulm	Ulm	Stadtkreis
Unna (Kr)	Unna	Kreis
Unstrut-Hainich-Kreis	Unstrut-Hainich-Kreis	Landkreis
Unterallgäu (Lkr)	Unterallgäu	Landkreis
Vechta (Lkr)	Vechta	Landkreis
Verden (Lkr)	Verden	Landkreis
Viersen (Kr)	Viersen	Kreis
Vogelsbergkreis	Vogelsbergkreis	Landkreis
Vogtlandkreis	Vogtlandkreis	Landkreis
Vorpommern-Greifswald	Vorpommern-Greifswald	Landkreis
Vorpommern-Rügen	Vorpommern-Rügen	Landkreis
Vulkaneifel (Lkr)	Vulkaneifel	Landkreis
Waldeck-Frankenberg (Lkr)	Waldeck-Frankenberg	Landkreis
Waldshut (Lkr)	Waldshut	Landkreis
Warendorf (Kr)	Warendorf	Kreis
Wartburgkreis	Wartburgkreis	Landkreis
Weiden in der Oberpfalz	Weiden i.d. OPf.	Kreisfreie Stadt
Weilheim-Schongau (Lkr)	Weilheim-Schongau	Landkreis
Weimar	Weimar	Kreisfreie Stadt
Weimarer Land (Lkr)	Weimarer Land	Landkreis
Weißenburg-Gunzenhausen (Lkr)	Weißenburg-Gunzenhausen	Landkreis
Werra-Meißner-Kreis	Werra-Meißner-Kreis	Landkreis
Wesel (Kr)	Wesel	Kreis
Wesermarsch (Lkr)	Wesermarsch	Landkreis
Westerwaldkreis	Westerwaldkreis	Landkreis
Wetteraukreis	Wetteraukreis	Landkreis
Wiesbaden	Wiesbaden	Kreisfreie Stadt
Wilhelmshaven	Wilhelmshaven	Kreisfreie Stadt
Wittenberg	Wittenberg	Landkreis
Wittmund (Lkr)	Wittmund	Landkreis
Wolfenbüttel (Lkr)	Wolfenbüttel	Landkreis
Wolfsburg	Wolfsburg	Kreisfreie Stadt
Worms	Worms	Kreisfreie Stadt
Wunsiedel im Fichtelgebirge (Lkr)	Wunsiedel i. Fichtelgebirge	Landkreis
Wuppertal	Wuppertal	Kreisfreie Stadt
Würzburg	Würzburg	Kreisfreie Stadt
Würzburg (Lkr)	Würzburg	Landkreis
Zollernalbkreis	Zollernalbkreis	Landkreis
Zweibrücken	Zweibrücken	Kreisfreie Stadt
Zwickau	Zwickau	Landkreis
